Date,Description,Amount,Type,Account,CategoryID
1/1/2018,Amazon,11.11,debit,Platinum Card,1
1/13/2018,Amazon,39.05,debit,Platinum Card,1
1/20/2018,Amazon,50.21,debit,Platinum Card,1
1/2/2018,Mortgage Payment,1247.44,debit,Checking,2
1/2/2018,Thai Restaurant,24.22,debit,Silver Card,3
1/5/2018,American Tavern,25.85,debit,Silver Card,3
1/15/2018,American Tavern,64.11,debit,Silver Card,3
1/3/2018,Credit Card Payment,2298.09,credit,Platinum Card,4
1/22/2018,Credit Card Payment,554.99,credit,Platinum Card,4
1/4/2018,Netflix,11.76,debit,Platinum Card,5
1/6/2018,Hardware Store,18.45,debit,Silver Card,6
1/8/2018,Hardware Store,15.38,debit,Silver Card,6
1/8/2018,Gas Company,45,debit,Checking,7
1/16/2018,City Water Charges,35,debit,Checking,7
1/16/2018,Power Company,60,debit,Checking,7
1/9/2018,Spotify,10.69,debit,Platinum Card,8
1/10/2018,Phone Company,89.46,debit,Checking,9
1/11/2018,Shell,34.87,debit,Platinum Card,10
1/11/2018,Grocery Store,43.54,debit,Platinum Card,11
1/15/2018,Grocery Store,44.19,debit,Silver Card,11
1/12/2018,Biweekly Paycheck,2000,credit,Checking,12
1/19/2018,Biweekly Paycheck,2000,credit,Checking,12
1/13/2018,Pizza Place,32.91,debit,Platinum Card,13
1/22/2018,Credit Card Payment,309.81,credit,Silver Card,4
1/22/2018,Credit Card Payment,554.99,debit,Checking,4
1/22/2018,Hardware Store,17.38,debit,Silver Card,6
1/23/2018,Credit Card Payment,309.81,debit,Checking,4
1/24/2018,Starbucks,3,debit,Platinum Card,14
1/25/2018,Internet Service Provider,69.99,debit,Checking,15
1/29/2018,Shell,30.42,debit,Silver Card,10
1/29/2018,Thai Restaurant,25,debit,Silver Card,3
1/29/2018,Brunch Restaurant,17.62,debit,Platinum Card,3
2/1/2018,Grocery Store,27.79,debit,Platinum Card,11
2/1/2018,Amazon,11.11,debit,Platinum Card,1
2/2/2018,Mortgage Payment,1247.44,debit,Checking,2
2/2/2018,Biweekly Paycheck,2000,credit,Checking,12
2/3/2018,Japanese Restaurant,57.02,debit,Platinum Card,3
2/4/2018,Netflix,11.76,debit,Platinum Card,5
2/5/2018,Credit Card Payment,145.14,credit,Platinum Card,4
2/6/2018,Credit Card Payment,154.13,credit,Silver Card,4
2/7/2018,Credit Card Payment,154.13,debit,Checking,4
2/7/2018,Gas Company,65,debit,Checking,7
2/9/2018,Barbershop,30,debit,Platinum Card,16
2/9/2018,Spotify,10.69,debit,Platinum Card,8
2/10/2018,Bojangles,10.66,debit,Platinum Card,13
2/11/2018,Fancy Restaurant,106.8,debit,Platinum Card,3
2/12/2018,Shell,36.47,debit,Silver Card,10
2/12/2018,Phone Company,89.52,debit,Checking,9
2/14/2018,Brewing Company,14,debit,Silver Card,17
2/15/2018,American Tavern,10,debit,Platinum Card,3
2/15/2018,Power Company,60,debit,Checking,7
2/16/2018,Biweekly Paycheck,2000,credit,Checking,12
